id tweet,author,palabra
1567169653356564480,@mariaavisan,me
1567175776008650752,@jose00310119,rt
1567228958579499009,@vane68262954,@herreraj2311
1567128055591706625,@cdicharallave,las
1567274233415503875,@braggaomx,#diamantes
1567166842770186240,@pedroparesf21,caso
1567250209322799105,@psucresito,y
1567478124694192129,@somosflowo,#cenotes
1567145888195248128,@lesinfanta,sus
1567140009802711040,@magahevi78,días
1567188023292432389,@danicagarciaos1,@maguilarhurtado:
1567212243946770435,@traselvalle_obc,aunque
1567234051852963840,@brichar2017,#6sep
1567242220633300992,@ice_manmx,6
1567216984982523906,@mnicaal58587327,vida
1567137291767844865,@jjaranaz94,léelo
1567543354103046146,@miguelavazg,esta
1567200787800985600,@redrobot64,del
1567108172438962179,@abe32555420,france
1567475077439946752,@chocolateespes0,alcalde
1567129169456234498,@mariolinalina,san
1567332317172989952,@axellaod,foto?
1567120299765661697,@traselvalle_obc,#felizviernesatodos
1567214792028426244,@rep_ilustrat,78
1567273545289408513,@1venezolanisima,rt
1567219430702161921,@albaferrero5,no
1567118559729311744,@johney94841020,#felizmartes
1567107573945438208,@laopinioncucuta,seguir
1567310960548843521,@alinaabreuprez1,un
1567162640077553666,@riva_leo,https://t.co/rm30trragu
1567135975393951745,@traselvalle_obc,del
1567512788871913476,@rockoch_lml,través
1567265588069687296,@tere98606402,decir.
1567216538851188736,@robrto_ledesma,19
1567249887091122177,@camille196059,@famelica_legion:
1567170159005286405,@jorge_villar,rt
1567315423187681288,@criptikalsoul,de
1567147439609577472,@blanca9112,@luismerlo_actor:
1567238153093668864,@pablomvegas,es
1567165064171462656,@miflor68700889,🚩líder
1567376891887099904,@ninodemera,"familia,"
1567219343024332801,@yolaap85,de
1567129476324298752,@edgarpadilla028,#felizmartes
1567293200355713026,@joaguilarmedina,cierta
1567159696187957248,@farmamavi,cuerpo?
1567315913103343617,@joltrexomar,hoy.
1567152226535178241,@pedrogonmi,#travel
1567325584090341376,@doloperez88,#travel
1567124345499127811,@whinsgtonsuriel,toda
1567293327313084417,@c1991alex,decir
1567161621851553795,@miercolesrepu24,y
1567168814726479874,@climatizate,#climatízate
1567293042519904261,@chanelitalucia,días!
1567151493488205825,@pinedoproyectos,licencia
1567230061450854402,@doujosecam,gas
1567183597940998145,@cesardi14033897,#6sep
1567211722108289034,@traselvalle_obc,peor
1567175039732137985,@chaguivem,#6sep
1567184489238994946,@ffer_nandez,#tacos
1567231891308269580,@robmassm1,78
1567146450143903745,@mercede073,cabo
1567147572195692545,@menorcadriver,estado…”
1567132775001497601,@isabelacaotoca,de
1567107386829045760,@rushfamtourneys,rt
1567098910358790145,@dejav6781,decir.
1567255883041718275,@rafmontoya,la
1567342725481086982,@jorgeand256,el
1567210697620164609,@joseman60659420,#quetevotetxapote
1567337465383632896,@exentani,para
1567182140470689793,@sofiaaurora08,dias
1567297453862404097,@fernandaruizpe2,se
1567170342287806465,@tatiana81619232,6
1567124974288211968,@chatarra333,batalla
1567162018934702082,@lacuban02311131,un
1567153588106919937,@elsoldadogabo,#6sep
1567156508705660928,@elisabethfan64,❤🌹
1567159512192225284,@ucespana,cada
1567130179968843779,@yami2336,desde
1567520624012050433,@romairafloriand,#leonelenpuertorico
1567315965154660353,@cubasi59,la
1567136913894547456,@benavidesang,su
1567157791021830146,@elportaldemty,https://t.co/q4bpbex42w
